archetype,topic,tweet_number,total_parts,tweet_text
Myth_Buster,European Service Module (ESM) contribution,1,1,
Nostalgia_Hook,European Service Module (ESM) contribution,1,1,
Visual_Invitation,"Lunar flyby trajectory – 4,600 miles beyond the Moon",1,1,
Hype_Countdown,NASA’s mission control for Artemis,1,1,
JawDrop_Fact,Artemis 2 launch timeline (late 2026),1,1,
Astro_Spotlight,Christina Koch’s record-setting career and Artemis 2 role,1,1,
Poll,SLS core stage stacking,1,1,
Hot_Take,Space radiation protection on Orion,1,1,
Myth_Buster,NASA’s mission control for Artemis,1,1,
Nostalgia_Hook,Orion life support system,1,1,
Explain_Thread,NASA’s mission control for Artemis,1,1,
Visual_Invitation,NASA’s mission control for Artemis,1,1,
Hype_Countdown,Moon suits and cockpit design,1,1,
Community_CTA,Artemis 2 launch timeline (late 2026),1,1,
JawDrop_Fact,The ‘Earthfall’ moment – Earth seen from beyond the Moon,1,1,
